iter	Passed	Remaining
631	1098	639
632	1100	638
633	1102	636
634	1103	634
635	1105	632
636	1107	630
637	1108	629
638	1110	627
639	1112	625
640	1113	623
641	1115	622
642	1117	620
643	1118	618
644	1120	616
645	1122	614
646	1123	613
647	1125	611
648	1127	609
649	1128	607
650	1130	606
651	1132	604
652	1133	602
653	1135	600
654	1137	599
655	1139	597
656	1140	595
657	1142	593
658	1144	592
659	1145	590
660	1147	588
661	1149	586
662	1151	585
663	1152	583
664	1154	581
665	1155	579
666	1157	577
667	1159	576
668	1160	574
669	1162	572
670	1164	571
671	1166	569
672	1168	567
673	1169	565
674	1171	564
675	1173	562
676	1175	560
677	1176	558
678	1178	557
679	1180	555
680	1182	553
681	1184	552
682	1185	550
683	1187	548
684	1189	546
685	1191	545
686	1192	543
687	1194	541
688	1196	539
689	1198	538
690	1199	536
691	1201	534
692	1202	532
693	1204	531
694	1206	529
695	1207	527
696	1209	525
697	1211	524
698	1213	522
699	1214	520
700	1216	518
701	1218	517
702	1220	515
703	1221	513
704	1223	511
705	1225	510
706	1227	508
707	1229	506
708	1230	505
709	1232	503
710	1233	501
711	1235	499
712	1237	498
713	1239	496
714	1241	494
715	1242	492
716	1244	491
717	1246	489
718	1247	487
719	1249	486
720	1251	484
721	1253	482
722	1255	480
723	1256	479
724	1258	477
725	1260	475
726	1261	473
727	1263	472
728	1265	470
729	1266	468
730	1268	466
731	1270	465
732	1271	463
733	1273	461
734	1275	459
735	1277	458
736	1279	456
737	1282	455
738	1284	453
739	1286	452
740	1288	450
741	1289	448
742	1291	446
743	1293	445
744	1295	443
745	1296	441
746	1298	439
747	1300	438
748	1301	436
749	1303	434
750	1305	432
751	1306	430
752	1308	429
753	1310	427
754	1311	425
755	1313	423
756	1315	422
757	1317	420
758	1318	418
759	1320	416
760	1321	415
761	1323	413
762	1325	411
763	1326	409
764	1328	408
765	1330	406
766	1332	404
767	1334	403
768	1335	401
769	1337	399
770	1338	397
771	1340	396
772	1342	394
773	1344	392
774	1345	390
775	1347	388
776	1349	387
777	1350	385
778	1352	383
779	1354	381
780	1355	380
781	1357	378
782	1359	376
783	1360	374
784	1362	373
785	1364	371
786	1365	369
787	1367	367
788	1368	366
789	1370	364
790	1372	362
791	1374	360
792	1375	359
793	1377	357
794	1378	355
795	1380	353
796	1382	352
797	1383	350
798	1385	348
799	1387	346
800	1388	345
801	1390	343
802	1392	341
803	1393	339
804	1395	338
805	1397	336
806	1398	334
807	1400	332
808	1402	331
809	1404	329
810	1406	327
811	1407	325
812	1409	324
813	1410	322
814	1412	320
815	1414	318
816	1415	317
817	1417	315
818	1419	313
819	1421	311
820	1422	310
821	1424	308
822	1425	306
823	1427	304
824	1429	303
825	1430	301
826	1432	299
827	1434	297
828	1435	296
829	1437	294
830	1439	292
831	1440	290
832	1442	289
833	1444	287
834	1445	285
835	1447	283
836	1449	282
837	1450	280
838	1452	278
839	1454	277
840	1456	275
841	1457	273
842	1459	271
843	1461	270
844	1462	268
845	1464	266
846	1466	264
847	1468	263
848	1469	261
849	1471	259
850	1473	257
851	1475	256
852	1476	254
853	1478	252
854	1480	251
855	1481	249
856	1483	247
857	1485	245
858	1486	244
859	1488	242
860	1490	240
861	1491	238
862	1493	237
863	1495	235
864	1496	233
865	1498	231
866	1500	230
867	1501	228
868	1503	226
869	1504	224
870	1506	223
871	1508	221
872	1509	219
873	1511	217
874	1513	216
875	1514	214
876	1516	212
877	1518	210
878	1519	209
879	1522	207
880	1524	205
881	1526	204
882	1528	202
883	1530	200
884	1531	199
885	1534	197
886	1536	195
887	1538	193
888	1539	192
889	1541	190
890	1543	188
891	1545	187
892	1546	185
893	1548	183
894	1550	181
895	1551	180
896	1553	178
897	1555	176
898	1557	174
899	1558	173
900	1560	171
901	1562	169
902	1563	167
903	1565	166
904	1567	164
905	1568	162
906	1570	161
907	1572	159
908	1573	157
909	1575	155
910	1577	154
911	1578	152
912	1580	150
913	1582	148
914	1584	147
915	1586	145
916	1587	143
917	1589	141
918	1591	140
919	1592	138
920	1594	136
921	1596	135
922	1598	133
923	1600	131
924	1602	129
925	1603	128
926	1605	126
927	1606	124
928	1608	122
929	1610	121
930	1611	119
931	1613	117
932	1615	116
933	1617	114
934	1619	112
935	1620	110
936	1622	109
937	1623	107
938	1625	105
939	1627	103
940	1628	102
941	1630	100
942	1632	98
943	1633	96
944	1635	95
945	1637	93
946	1638	91
947	1640	89
948	1641	88
949	1643	86
950	1645	84
951	1647	83
952	1648	81
953	1650	79
954	1651	77
955	1653	76
956	1655	74
957	1656	72
958	1658	70
959	1660	69
960	1662	67
961	1664	65
962	1665	64
963	1667	62
964	1669	60
965	1670	58
966	1672	57
967	1674	55
968	1675	53
969	1677	51
970	1679	50
971	1681	48
972	1682	46
973	1684	44
974	1686	43
975	1687	41
976	1689	39
977	1691	38
978	1692	36
979	1694	34
980	1696	32
981	1697	31
982	1699	29
983	1701	27
984	1702	25
985	1704	24
986	1705	22
987	1707	20
988	1709	19
989	1711	17
990	1712	15
991	1714	13
992	1716	12
993	1717	10
994	1719	8
995	1720	6
996	1722	5
997	1724	3
998	1725	1
999	1727	0
