iter	Accuracy	Logloss
256	0.9282442748	0.2516452743
257	0.9282442748	0.2508557811
258	0.9290076336	0.2503782107
259	0.9297709924	0.2496918667
260	0.9301526718	0.2489689456
261	0.9305343511	0.2486132192
262	0.9305343511	0.247863746
263	0.9305343511	0.2473303589
264	0.9309160305	0.2471335425
265	0.9316793893	0.246551877
266	0.9316793893	0.2457890634
267	0.9320610687	0.2449921384
268	0.9328244275	0.2443568599
269	0.9320610687	0.2437612781
270	0.9324427481	0.2433453072
271	0.9328244275	0.2426744787
272	0.9339694656	0.2422779633
273	0.9347328244	0.2418794574
274	0.9347328244	0.2413459619
275	0.9354961832	0.240525752
276	0.9354961832	0.240067315
277	0.9351145038	0.2394266562
278	0.9358778626	0.2388798959
279	0.936259542	0.23845199
280	0.9374045802	0.238088747
281	0.9385496183	0.2377124304
282	0.9389312977	0.2371288175
283	0.9393129771	0.2367629326
284	0.9396946565	0.2363117304
285	0.9396946565	0.2358093279
286	0.9396946565	0.2353986445
287	0.9400763359	0.2347248301
288	0.9404580153	0.2344519702
289	0.9416030534	0.2340826884
290	0.9427480916	0.2335020223
291	0.9438931298	0.2328696735
292	0.9435114504	0.2321937031
293	0.9438931298	0.2316837159
294	0.943129771	0.230915501
295	0.9442748092	0.2305032043
296	0.9454198473	0.229919806
297	0.9454198473	0.229487455
298	0.9446564885	0.2288389005
299	0.9458015267	0.2283940178
300	0.9454198473	0.2278443766
301	0.9458015267	0.2273003118
302	0.9465648855	0.2268960323
303	0.9461832061	0.2263911671
304	0.9480916031	0.2256681678
305	0.9480916031	0.2251171704
306	0.9484732824	0.2245729969
307	0.9477099237	0.2240115052
308	0.9484732824	0.2233809161
309	0.9480916031	0.2230788578
310	0.9480916031	0.2228010315
311	0.9480916031	0.2223566486
312	0.9496183206	0.2215453437
313	0.95	0.2210234387
314	0.95	0.2204906623
315	0.95	0.2200772779
316	0.9503816794	0.2197642819
317	0.9519083969	0.2189985998
318	0.9522900763	0.2185443916
319	0.9522900763	0.217378674
320	0.9519083969	0.2167453043
321	0.9522900763	0.2163551893
322	0.9522900763	0.2155581071
323	0.9530534351	0.2151502462
324	0.9526717557	0.2147500678
325	0.9538167939	0.2143003051
326	0.9534351145	0.213680511
327	0.9549618321	0.213045728
328	0.9553435115	0.2125953474
329	0.9557251908	0.2120300339
330	0.9561068702	0.2117370894
331	0.9561068702	0.2113736439
332	0.9561068702	0.2108865482
333	0.9561068702	0.2103096738
334	0.9561068702	0.2099745625
335	0.9564885496	0.209446191
336	0.956870229	0.2089968386
337	0.9572519084	0.2086468248
338	0.9572519084	0.2082736224
339	0.956870229	0.2077116039
340	0.9580152672	0.207389345
341	0.9583969466	0.2070204821
342	0.958778626	0.2064552898
343	0.9591603053	0.2061446034
344	0.9591603053	0.2055990096
345	0.958778626	0.2053133655
346	0.9583969466	0.2049901696
347	0.9583969466	0.204757501
348	0.9583969466	0.2044967249
349	0.9591603053	0.2035499671
350	0.958778626	0.2029414228
351	0.958778626	0.2025477988
352	0.958778626	0.202338751
353	0.958778626	0.2019464975
354	0.9580152672	0.2014767317
355	0.958778626	0.2010187475
356	0.9583969466	0.200582873
357	0.9591603053	0.2002170632
358	0.9591603053	0.199810634
359	0.9591603053	0.1996178775
360	0.9595419847	0.199120835
361	0.9595419847	0.19869077
362	0.9595419847	0.1983144155
363	0.9595419847	0.197991571
364	0.9610687023	0.1975407148
365	0.9610687023	0.1972014383
366	0.9622137405	0.1967683358
367	0.9622137405	0.1963126313
368	0.9618320611	0.196052306
369	0.9625954198	0.1956003585
370	0.9629770992	0.1949256634
371	0.9629770992	0.1943983597
372	0.9633587786	0.1941282571
373	0.9641221374	0.1935758702
374	0.9652671756	0.1930609198
375	0.965648855	0.192733626
376	0.9648854962	0.1925155337
377	0.9652671756	0.1920627516
378	0.965648855	0.1917004176
379	0.9667938931	0.191322902
380	0.9679389313	0.1907090757
381	0.9687022901	0.1903699742
382	0.9687022901	0.1901046526
383	0.9690839695	0.1897101286
384	0.9687022901	0.1893303262
385	0.9687022901	0.1889619345
386	0.9690839695	0.1887254124
387	0.9690839695	0.1884134246
388	0.9690839695	0.1878496473
389	0.9690839695	0.1874630697
390	0.9694656489	0.1871166379
